id,date,r,entry,stop,exit,symbol,note
50,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
51,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
52,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
53,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
54,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
55,2025-01-07,1.440,10.100,9.900,10.400,000001,sim
56,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
57,2025-01-08,1.440,10.100,9.900,10.400,000001,sim
58,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
59,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
60,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
61,2026-08-11,0.510,11.263,9.640,12.110,600833,sim
62,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
63,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
64,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
65,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
66,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
67,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
68,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
69,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
70,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
71,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
72,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
73,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
74,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
75,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
76,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
77,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
78,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
79,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
80,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
81,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
82,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
83,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
84,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
85,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
86,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
87,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
88,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
89,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
90,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
91,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
92,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
93,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
94,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
95,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
96,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
97,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
98,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
99,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
100,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
101,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
102,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
103,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
104,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
105,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
106,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
107,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
108,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
109,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
110,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
111,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
112,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
113,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
114,2025-01-08,-0.560,10.100,9.900,10.000,000001,sim
115,2025-01-07,-1.060,10.100,9.900,9.900,000001,sim
