trade_id,date,symbol,name,grade,trigger,stop,status,exit_reason,r,note
SIM2026081122195000,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081122195001,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081122211300,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081122211301,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081122232500,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081122232501,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081122232600,2026-08-11,600001,主文件票,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081122284000,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081122284001,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081123103800,2026-08-11,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081123103801,2026-08-11,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081200575800,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081200575801,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081201030300,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081201030301,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081201415400,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081201415401,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081201480600,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081201480601,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081202293600,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081202293601,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081202422100,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081202422101,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081203581100,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081203581101,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081204065900,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081204065901,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
SIM2026081204073300,2026-08-12,600001,甲,S,10.50,9.80,跟踪中,,,模拟条件单挂单
SIM2026081204073301,2026-08-12,600002,乙,A,8.20,7.90,跟踪中,,,模拟条件单挂单
